win,year,song,artist,genre_category,genre,genre_count_old,genre_Count_from2005,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,rankby_total_count,groupby_10
0,1969,My Way,Frank Sinatra,5,Pop,1235,13616,510,8,2603,14,2012826,88,53144945,17,55157771,16,1
0,1967,White Rabbit,Jefferson Airplane,6,Rock,3655,1990,785,10,1483,290,4637495,18,49143385,20,53780880,17,1
0,1969,Suspicious Minds,Elvis Presley,6,Rock,3655,1990,1210,15,277,1,2123317,85,50072451,18,52195768,18,1
0,1967,Penny Lane,The Beatles,6,Rock,3655,1990,813,10,1364,2,3834302,31,47511794,21,51346096,19,1
0,1969,Bad Moon Rising,Creedence Clearwater Revival,6,Rock,3655,1990,1140,14,396,146,4160118,24,47028179,23,51188297,20,1
1,1969,In The Ghetto,Elvis Presley,6,Rock,3655,1990,1053,13,615,1,1366175,130,49241394,19,50607569,21,1
0,1969,Whole Lotta Love,Led Zeppelin,6,Rock,3655,1990,1202,15,287,470,5650518,9,43219824,25,48870342,22,1
0,1959,Dream Lover,Bobby Darin,6,Rock,3655,1990,1353,17,119,9,519246,337,47044404,22,47563650,23,1
0,1967,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,9,Urban,1891,19436,789,12,1469,197,976350,185,44539072,24,45515422,24,1
0,1965,We Can Work It Out,The Beatles,6,Rock,3655,1990,1064,12,582,2,2460648,66,43053375,26,45514023,25,1
1,1967,Light My Fire,The Doors,6,Rock,3655,1990,1442,23,71,192,5574004,13,37757444,27,43331448,26,1
0,1965,Help!,The Beatles,6,Rock,3655,1990,1136,13,407,2,6265950,7,36548843,30,42814793,27,1
0,1965,(I Can't Get No) Satisfaction,The Rolling Stones,6,Rock,3655,1990,1213,14,270,47,4312676,21,37080604,29,41393280,28,1
0,1968,Born To Be Wild,Steppenwolf,6,Rock,3655,1990,1092,13,514,206,2959111,52,37224114,28,40183225,29,1
1,1968,Mrs. Robinson,Simon & Garfunkel,5,Pop,1235,13616,1134,13,415,144,3853551,28,35248644,32,39102195,30,1
0,1970,Your Song,Elton John,5,Pop,1235,13616,229,5,4617,929,3134401,46,34334067,33,37468468,31,1
1,1966,Strangers In The Night,Frank Sinatra,5,Pop,1235,13616,1135,15,410,14,1608383,113,35669203,31,37277586,32,1
0,1969,I Want You Back,Jackson 5,9,Urban,1891,19436,1530,19,39,445,3521849,40,33618281,34,37140130,33,1
0,1968,Revolution,The Beatles,6,Rock,3655,1990,901,11,1052,2,2302528,76,30623334,37,32925862,34,1
0,1969,Fortunate Son,Creedence Clearwater Revival,6,Rock,3655,1990,283,4,4171,146,5322393,15,27338839,48,32661232,35,1
0,1959,La Bamba,Ritchie Valens,6,Rock,3655,1990,847,15,1241,377,669816,264,31331706,35,32001522,36,1
0,1969,Build Me Up Buttercup,The Foundations,6,Rock,3655,1990,1238,15,238,356,1062355,171,30926200,36,31988555,37,1
0,1969,"Sugar, Sugar",The Archies,6,Rock,3655,1990,1797,22,9,308,605428,298,30241556,38,30846984,38,1
1,1967,Respect,Aretha Franklin,9,Urban,1891,19436,1053,12,614,13,2898553,53,27412177,47,30310730,39,1
0,1963,Ring Of Fire,Johnny Cash,8,Traditional,811,12088,873,13,1144,25,3670077,34,26369797,51,30039874,40,1
1,1968,(Sittin' On) The Dock Of The Bay,Otis Redding,9,Urban,1891,19436,1383,16,104,35,2719232,60,27153353,49,29872585,41,1
0,1958,Johnny B. Goode,Chuck Berry,6,Rock,3655,1990,21,1,7206,72,2752887,57,27025883,50,29778770,42,1
0,1958,Fever,Peggy Lee,5,Pop,1235,13616,876,12,1141,225,1099640,164,28654644,43,29754284,43,1
0,1966,That's Life,Frank Sinatra,5,Pop,1235,13616,889,11,1084,14,964573,186,28758209,42,29722782,44,1
0,1959,Put Your Head On My Shoulder,Paul Anka,5,Pop,1235,13616,1457,18,65,20,236114,584,29260598,40,29496712,45,1
0,1967,"For What It's Worth (Stop, Hey What's That Sound)",The Buffalo Springfield,6,Rock,3655,1990,1049,15,621,422,4890,3850,29351769,39,29356659,46,1
0,1969,Ain't Got No; I Got Life,Nina Simone,3,Jazz,298,81,20,4,7230,330,3010,4359,29185963,41,29188973,47,1
1,1966,When A Man Loves A Woman,Percy Sledge,9,Urban,1891,19436,979,13,818,143,1098169,165,27633494,46,28731663,48,1
0,1967,Foxey Lady,Jimi Hendrix,6,Rock,3655,1990,103,4,5825,2279,3150398,45,25440063,54,28590461,49,1
0,1961,The Lion Sleeps Tonight,The Tokens,6,Rock,3655,1990,1240,15,232,157,332303,461,28147777,44,28480080,50,1
0,1961,Please Mr. Postman,The Marvelettes,9,Urban,1891,19436,1505,23,51,45,594522,304,27734758,45,28329280,51,1
0,1967,Somebody To Love,Jefferson Airplane,6,Rock,3655,1990,995,15,760,290,4183522,23,22582723,60,26766245,52,1
0,1970,We've Only Just Begun,Carpenters,6,Rock,3655,1990,1334,16,128,679,623360,291,25574321,53,26197681,53,1
1,1961,Hit The Road Jack,Ray Charles and his Orchestra,9,Urban,1891,19436,1118,13,446,71,777,5736,25983653,52,25984430,54,1
0,1970,Mississippi Queen,Mountain,6,Rock,3655,1990,907,17,1026,2063,788166,226,24468323,55,25256489,55,1
0,1960,Save The Last Dance For Me,The Drifters,9,Urban,1891,19436,1432,18,77,22,459419,366,23871535,56,24330954,56,1
0,1963,Then He Kissed Me,The Crystals,6,Rock,3655,1990,921,12,979,253,502342,344,23711127,57,24213469,57,1
0,1968,Crimson And Clover,Tommy James And The Shondells,6,Rock,3655,1990,1387,16,100,74,732606,249,23179788,58,23912394,58,1
0,1969,The Boxer,Simon & Garfunkel,5,Pop,1235,13616,832,10,1305,144,2864595,54,20520509,69,23385104,59,1
1,1966,"Monday, Monday",The Mamas & The Papas,5,Pop,1235,13616,1002,12,731,125,731377,250,22534770,61,23266147,60,1
1,1960,Georgia On My Mind,Ray Charles,9,Urban,1891,19436,990,13,775,8,1474781,125,21692469,63,23167250,61,1
0,1958,Donna,Ritchie Valens,6,Rock,3655,1990,1727,23,17,377,217479,618,22936087,59,23153566,62,1
1,1970,Bridge Over Troubled Water,Simon & Garfunkel,5,Pop,1235,13616,1288,14,175,144,2440266,68,20479421,70,22919687,63,1
0,1967,San Francisco (Be Sure To Wear Flowers In Your Hair),Scott McKenzie,5,Pop,1235,13616,929,12,960,763,1570554,116,20969205,66,22539759,64,1
0,1967,A Natural Woman (You Make Me Feel Like),Aretha Franklin,9,Urban,1891,19436,701,9,1777,13,6727,3527,22520973,62,22527700,65,1
1,1966,Eleanor Rigby,The Beatles,6,Rock,3655,1990,576,8,2282,2,5617352,12,16475193,84,22092545,66,1
0,1968,In-A-Gadda-Da-Vida,Iron Butterfly,6,Rock,3655,1990,810,17,1374,518,760671,241,20633545,68,21394216,67,1
0,1970,ABC,Jackson 5,9,Urban,1891,19436,1184,13,319,445,2129390,84,18903173,74,21032563,68,1
0,1965,Super-cali-fragil-istic-expi-ali-docious,Julie Andrews-Dick Van Dyke,6,Rock,3655,1990,134,5,5500,2241,0,8339,21010524,65,21010524,69,1
0,1970,Yellow River,Christie,6,Rock,3655,1990,1103,23,480,1901,218665,615,20652577,67,20871242,70,1
0,1970,Cecilia,Simon & Garfunkel,5,Pop,1235,13616,1047,13,626,144,2334455,72,18053989,77,20388444,71,1
0,1964,I Want To Hold Your Hand,The Beatles,6,Rock,3655,1990,1402,15,89,2,0,8260,20135333,71,20135333,72,1
1,1961,At Last,Etta James,9,Urban,1891,19436,332,8,3749,40,1819977,101,18049356,78,19869333,73,1
0,1967,People Are Strange,The Doors,6,Rock,3655,1990,644,9,2017,192,5647930,10,14200925,96,19848855,74,1
0,1965,Unchained Melody,The Righteous Brothers,6,Rock,3655,1990,1020,13,688,90,1663886,110,18165953,76,19829839,75,1
0,1968,I Started A Joke,Bee Gees,6,Rock,3655,1990,850,11,1227,135,465427,360,19099346,73,19564773,76,1
0,1960,Only The Lonely (Know How I Feel),Roy Orbison,6,Rock,3655,1990,1506,21,49,32,20956,2324,19463893,72,19484849,77,1
1,1964,The Girl From Ipanema,Stan Getz/Astrud Gilberto,4,Other,226,1250,902,12,1050,1138,318521,475,18647188,75,18965709,78,1
1,1964,L-O-V-E,Nat King Cole,5,Pop,1235,13616,60,4,6355,28,834129,214,17930675,79,18764804,79,1
0,1962,Cry To Me,Solomon Burke,9,Urban,1891,19436,426,10,3099,50,463454,363,17845306,80,18308760,80,1
0,1964,Twist And Shout,The Beatles,6,Rock,3655,1990,959,11,876,2,3107165,49,15153619,90,18260784,81,1
0,1968,White Room,Cream,6,Rock,3655,1990,888,11,1090,374,2410465,70,15024523,91,17434988,82,1
0,1968,Those Were The Days,Mary Hopkin,5,Pop,1235,13616,1176,14,330,347,160698,768,17265038,81,17425736,83,1
0,1967,Brown Eyed Girl,Van Morrison,6,Rock,3655,1990,985,16,789,626,3608286,35,13532127,102,17140413,84,1
0,1966,Wouldn't It Be Nice,The Beach Boys,6,Rock,3655,1990,765,11,1547,11,3587627,37,13279883,106,16867510,85,1
0,1970,Hello Darlin',Conway Twitty,8,Traditional,811,12088,236,8,4568,119,152744,787,16548397,82,16701141,86,1
0,1968,Son-Of-A Preacher Man,Dusty Springfield,6,Rock,3655,1990,903,12,1043,84,3564,4173,16529804,83,16533368,87,1
0,1962,Bring It On Home To Me,Sam Cooke,9,Urban,1891,19436,617,11,2110,15,773702,231,15622187,86,16395889,88,1
0,1965,Yesterday,The Beatles,6,Rock,3655,1990,961,11,869,2,6647511,5,9688759,146,16336270,89,1
0,1959,Since I Don't Have You,The Skyliners,6,Rock,3655,1990,1098,19,495,364,194055,675,16108613,85,16302668,90,1
0,1968,With A Little Help From My Friends,Joe Cocker,6,Rock,3655,1990,142,6,5406,302,1096769,166,14871280,93,15968049,91,1
0,1965,You'll Never Walk Alone,Gerry And The Pacemakers,6,Rock,3655,1990,228,6,4623,181,428100,387,15335615,88,15763715,92,1
0,1961,Runaround Sue,Dion,6,Rock,3655,1990,1244,14,225,64,516395,339,15238324,89,15754719,93,1
1,1969,A Boy Named Sue,Johnny Cash,8,Traditional,811,12088,1075,12,554,25,793123,225,14901896,92,15695019,94,1
0,1965,We Gotta Get Out Of This Place,The Animals,6,Rock,3655,1990,746,11,1610,182,746755,247,14792121,94,15538876,95,1
0,1967,Happy Together,The Turtles,6,Rock,3655,1990,1238,15,239,99,2316510,73,13097199,107,15413709,96,1
0,1960,Will You Love Me Tomorrow,The Shirelles,6,Rock,3655,1990,1481,19,57,43,0,8292,15413457,87,15413457,97,1
0,1970,Lola,The Kinks,6,Rock,3655,1990,1028,14,670,142,2173537,81,12794282,110,14967819,98,1
0,1969,I Can't Get Next To You,The Temptations,9,Urban,1891,19436,1435,17,75,34,311951,481,14655436,95,14967387,99,1
0,1964,Under The Boardwalk,The Drifters,9,Urban,1891,19436,1093,14,511,22,544608,321,14032727,98,14577335,100,1
0,1964,Can't Buy Me Love,The Beatles,6,Rock,3655,1990,897,10,1061,2,4014373,25,10539969,130,14554342,101,1
0,1963,Surfin' Bird,The Trashmen,6,Rock,3655,1990,956,13,882,1009,921190,192,13442707,105,14363897,102,1
0,1958,All I Have To Do Is Dream,The Everly Brothers,6,Rock,3655,1990,68,4,6238,24,827973,215,13481827,104,14309800,103,1
0,1966,Yellow Submarine,The Beatles,6,Rock,3655,1990,779,9,1498,2,4998369,17,9217967,154,14216336,104,1
0,1964,Where Did Our Love Go,The Supremes,5,Pop,1235,13616,1198,14,293,60,614672,294,13517655,103,14132327,105,1
1,1963,Blowin' In The Wind,"Peter, Paul & Mary",8,Traditional,811,12088,1143,15,391,80,91576,1101,14033215,97,14124791,106,1
0,1968,Sunshine Of Your Love,Cream,6,Rock,3655,1990,1632,26,26,374,3592289,36,10499945,132,14092234,107,1
0,1964,Love Potion Number Nine,The Searchers,6,Rock,3655,1990,1082,14,535,140,41373,1703,14028499,99,14069872,108,1
0,1966,I'm Your Puppet,James & Bobby Purify,9,Urban,1891,19436,961,14,868,263,89241,1114,13894497,100,13983738,109,1
1,1961,Big Bad John,Jimmy Dean,8,Traditional,811,12088,1328,16,131,221,127516,885,13845940,101,13973456,110,1
0,1966,Try A Little Tenderness,Otis Redding,9,Urban,1891,19436,564,10,2341,35,1357143,132,12476830,113,13833973,111,1
0,1966,Good Vibrations,The Beach Boys,6,Rock,3655,1990,1155,14,367,11,2643834,61,11151223,122,13795057,112,1
1,1965,A Change Is Gonna Come,Sam Cooke,9,Urban,1891,19436,417,7,3160,15,1226304,146,12528846,112,13755150,113,1
0,1970,All Right Now,Free,6,Rock,3655,1990,1215,16,266,971,1627848,112,11887209,118,13515057,114,1
1,1968,Folsom Prison Blues,Johnny Cash,8,Traditional,811,12088,609,12,2146,25,2720398,59,10468072,133,13188470,115,1
0,1966,Georgy Girl,The Seekers,6,Rock,3655,1990,1191,16,311,460,141705,827,12933622,108,13075327,116,1
0,1967,The Letter,The Box Tops,6,Rock,3655,1990,1294,16,167,183,1351424,133,11691984,120,13043408,117,1
0,1969,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,6,Rock,3655,1990,1184,15,320,146,0,8256,12827814,109,12827814,118,1
0,1960,Angel Baby,Rosie And The Originals,6,Rock,3655,1990,1090,13,519,2103,81095,1170,12728342,111,12809437,119,1
0,1967,Can't Take My Eyes Off You,Frankie Valli,6,Rock,3655,1990,1316,16,139,343,403335,403,12396122,114,12799457,120,1
0,1965,Eve Of Destruction,Barry McGuire,6,Rock,3655,1990,946,11,911,683,388475,418,12361421,115,12749896,121,1
1,1969,Everybody's Talkin',Nilsson,5,Pop,1235,13616,885,12,1102,820,727966,251,11732500,119,12460466,122,1
0,1963,Rhythm Of The Rain,The Cascades,6,Rock,3655,1990,1269,16,191,423,163207,757,12127962,116,12291169,123,1
0,1961,Runaway,Del Shannon,6,Rock,3655,1990,1347,17,123,107,1260889,142,10787338,127,12048227,124,1
1,1965,For Your Love,The Yardbirds,6,Rock,3655,1990,869,12,1157,207,1362566,131,10616289,129,11978855,125,1
0,1965,Ticket To Ride,The Beatles,6,Rock,3655,1990,933,11,946,2,3572169,38,8394843,166,11967012,126,1
0,1968,Tip-Toe Thru' The Tulips With Me,Tiny Tim,4,Other,226,1250,548,9,2424,658,23253,2229,11900352,117,11923605,127,1
0,1967,All You Need Is Love,The Beatles,6,Rock,3655,1990,915,11,997,2,5319188,16,6567726,212,11886914,128,1
0,1962,Boom Boom,John Lee Hooker,8,Traditional,811,12088,234,10,4586,2196,1024514,176,10721255,128,11745769,129,1
0,1965,Sitting In The Park,Billy Stewart,9,Urban,1891,19436,444,8,2983,176,40453,1718,11596726,121,11637179,130,1
0,1969,Kozmic Blues,Janis Joplin,6,Rock,3655,1990,354,9,3574,2252,715198,254,10855698,126,11570896,131,1
0,1970,Black Magic Woman,Santana,6,Rock,3655,1990,551,7,2413,716,1210389,147,10333740,135,11544129,132,1
0,1960,Beyond The Sea,Bobby Darin,6,Rock,3655,1990,1058,14,601,9,947485,188,10528626,131,11476111,133,1
1,1961,I Fall To Pieces,Patsy Cline,8,Traditional,811,12088,1141,20,393,150,418988,392,10977680,125,11396668,134,1
1,1969,Proud Mary,Creedence Clearwater Revival,6,Rock,3655,1990,1159,14,360,146,2467773,65,8916315,158,11384088,135,1
0,1969,Pinball Wizard,The Who,6,Rock,3655,1990,678,11,1884,149,2311189,74,9046505,156,11357694,136,1
0,1970,Fire And Rain,James Taylor,6,Rock,3655,1990,1284,16,179,1083,1511300,121,9834180,144,11345480,137,1
0,1966,You Can't Hurry Love,The Supremes,9,Urban,1891,19436,1091,13,516,60,980254,184,10322728,136,11302982,138,1
0,1963,I Will Follow Him,Little Peggy March,5,Pop,1235,13616,1105,14,476,350,121796,922,11076579,124,11198375,139,1
0,1967,Carrie-Anne,The Hollies,6,Rock,3655,1990,930,13,957,112,65619,1329,11081507,123,11147126,140,1
1,1959,Mack The Knife,Bobby Darin,6,Rock,3655,1990,2202,26,2,9,615887,293,10286399,137,10902286,141,1
0,1970,I'll Be There,Jackson 5,9,Urban,1891,19436,1398,15,94,445,824721,217,9934792,143,10759513,142,1
1,1964,Downtown,Petula Clark,6,Rock,3655,1990,1265,15,196,81,895928,201,9680366,147,10576294,143,1
0,1958,Lonely Teardrops,Jackie Wilson,9,Urban,1891,19436,1519,21,43,5,215109,629,10359392,134,10574501,144,1
0,1967,Purple Haze,The Jimi Hendrix Experience,6,Rock,3655,1990,174,8,5076,458,1876786,94,8695953,161,10572739,145,1
0,1969,Where Do You Go To (My Lovely),Peter Sarstedt,5,Pop,1235,13616,159,6,5230,2034,546569,320,10015727,142,10562296,146,1
0,1964,You Never Can Tell,Chuck Berry,6,Rock,3655,1990,563,9,2347,72,1203121,148,9317643,151,10520764,147,1
0,1963,You Don't Own Me,Lesley Gore,6,Rock,3655,1990,1025,13,678,77,287755,512,10108277,139,10396032,148,1
0,1969,Green River,Creedence Clearwater Revival,6,Rock,3655,1990,1094,13,507,146,1853109,97,8457708,164,10310817,149,1
0,1965,I've Been Loving You Too Long (To Stop Now),Otis Redding,9,Urban,1891,19436,632,11,2061,35,179712,715,10125751,138,10305463,150,1
0,1964,Mr. Lonely,Bobby Vinton,6,Rock,3655,1990,1290,15,173,17,165802,745,10085122,141,10250924,151,1
0,1965,L-O-N-E-L-Y,Bobby Vinton,6,Rock,3655,1990,507,8,2621,17,8635,3288,10085341,140,10093976,152,1
0,1970,Immigrant Song,Led Zeppelin,6,Rock,3655,1990,313,6,3914,470,6268358,6,3789760,360,10058118,153,1
0,1966,God Only Knows,The Beach Boys,6,Rock,3655,1990,401,8,3259,11,3009584,51,6941449,206,9951033,154,1
0,1968,I Heard It Through The Grapevine,Marvin Gaye,9,Urban,1891,19436,1391,15,96,42,1946670,91,7967771,171,9914441,155,1
0,1961,Hello Mary Lou,Ricky Nelson,6,Rock,3655,1990,1148,15,374,76,143829,822,9631186,148,9775015,156,1
0,1970,Sunday Morning Coming Down,Johnny Cash,8,Traditional,811,12088,327,7,3797,25,592749,305,9163539,155,9756288,157,1
0,1970,Coal Miner's Daughter,Loretta Lynn,8,Traditional,811,12088,62,4,6324,2303,126772,891,9571416,149,9698188,158,1
0,1968,Scarborough Fair (/Canticle),Simon & Garfunkel,5,Pop,1235,13616,818,11,1349,144,96,7225,9695086,145,9695182,159,1
0,1969,"He Ain't Heavy, He's My Brother",The Hollies,6,Rock,3655,1990,1069,18,568,112,281196,522,9397675,150,9678871,160,1
0,1966,Tell It Like It Is,Aaron Neville,5,Pop,1235,13616,1146,14,385,1129,369339,432,9276282,153,9645621,161,1
0,1964,You Really Got Me,The Kinks,6,Rock,3655,1990,1014,15,704,142,3016778,50,6599369,210,9616147,162,1
0,1966,Barbara Ann,The Beach Boys,6,Rock,3655,1990,832,11,1301,11,925288,191,8677873,162,9603161,163,1
0,1963,Be My Baby,The Ronettes,6,Rock,3655,1990,1025,13,680,353,1774162,103,7675774,179,9449936,164,1
0,1961,Milord,Edith Piaf,6,Rock,3655,1990,28,3,6989,1587,746822,246,8636735,163,9383557,165,1
0,1962,You'll Lose A Good Thing,Barbara Lynn,9,Urban,1891,19436,843,13,1262,224,75638,1213,9279931,152,9355569,166,1
0,1969,Time Of The Season,The Zombies,6,Rock,3655,1990,1049,13,622,382,1749654,105,7512163,183,9261817,167,1
0,1966,My Generation,The Who,6,Rock,3655,1990,104,5,5818,149,3303879,42,5932554,239,9236433,168,1
0,1963,Sukiyaki,Kyu Sakamoto,5,Pop,1235,13616,1170,14,342,900,148310,800,9027619,157,9175929,169,1
0,1968,Jumpin' Jack Flash,The Rolling Stones,6,Rock,3655,1990,1015,12,699,47,2015397,87,7148668,200,9164065,170,1
0,1969,Crystal Blue Persuasion,Tommy James And The Shondells,6,Rock,3655,1990,1230,15,248,74,239686,580,8831648,159,9071334,171,1
0,1965,I Got You Babe,Sonny & Cher,6,Rock,3655,1990,1057,14,606,128,684447,260,8158627,169,8843074,172,1
0,1968,Touch Me,The Doors,6,Rock,3655,1990,1096,13,501,192,3127603,47,5635577,253,8763180,173,1
0,1967,(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,9,Urban,1891,19436,912,12,1006,5,489134,350,8238356,168,8727490,174,1
0,1970,American Woman/No Sugar Tonight,The Guess Who,6,Rock,3655,1990,1307,15,148,241,1,8166,8704069,160,8704070,175,1
0,1965,I Can't Explain,The Who,6,Rock,3655,1990,10,2,7713,149,1243003,143,7413951,191,8656954,176,1
0,1967,I Think We're Alone Now,Tommy James And The Shondells,6,Rock,3655,1990,1277,17,186,74,168142,740,8429857,165,8597999,177,1
1,1968,On The Road Again,Canned Heat,6,Rock,3655,1990,638,11,2045,493,1071634,170,7440026,188,8511660,178,1
0,1963,These Arms Of Mine,Otis Redding,9,Urban,1891,19436,29,3,6944,35,1263297,141,7229068,197,8492365,179,1
0,1966,You Don't Have To Say You Love Me,Dusty Springfield,6,Rock,3655,1990,1025,13,679,84,625456,289,7857030,175,8482486,180,1
0,1965,In The Midnight Hour,Wilson Pickett,9,Urban,1891,19436,638,12,2043,23,548161,317,7861307,174,8409468,181,1
0,1960,Rockin' Around The Christmas Tree,Brenda Lee,8,Traditional,811,12088,500,11,2660,4,892462,202,7496865,185,8389327,182,1
0,1968,Young Girl,The Union Gap Featuring Gary Puckett,6,Rock,3655,1990,1243,15,227,1000,228128,602,8132740,170,8360868,183,1
0,1966,Darling Baby,The Elgins,9,Urban,1891,19436,133,8,5511,441,47658,1588,8293667,167,8341325,184,1
0,1968,The Weight,The Band,6,Rock,3655,1990,205,7,4816,543,1920781,93,6407282,221,8328063,185,1
0,1969,Venus,The Shocking Blue,6,Rock,3655,1990,1197,14,295,690,641612,281,7599634,181,8241246,186,1
1,1970,Let It Be,The Beatles,6,Rock,3655,1990,1287,14,176,2,6917316,4,1280983,765,8198299,187,1
0,1964,I Get Around,The Beach Boys,6,Rock,3655,1990,1282,15,181,11,1736753,106,6450316,218,8187069,188,1
0,1964,I Only Want To Be With You,Dusty Springfield,6,Rock,3655,1990,668,10,1915,84,445665,377,7673278,180,8118943,189,1
1,1970,Rose Garden,Lynn Anderson,8,Traditional,811,12088,224,5,4655,2295,279145,523,7817930,177,8097075,190,1
0,1964,Dancing In The Street,Martha & The Vandellas,9,Urban,1891,19436,1133,14,418,121,655836,272,7428185,190,8084021,191,1
0,1961,Mama Said,The Shirelles,6,Rock,3655,1990,849,11,1232,43,306948,484,7760842,178,8067790,192,1
0,1969,No Time,The Guess Who,6,Rock,3655,1990,995,14,755,241,221188,610,7839317,176,8060505,193,1
0,1968,Magic Carpet Ride,Steppenwolf,6,Rock,3655,1990,1245,16,223,206,1560512,119,6435228,220,7995740,194,1
0,1970,Spirit In The Sky,Norman Greenbaum,6,Rock,3655,1990,1273,15,190,880,1820306,99,6173047,233,7993353,195,1
1,1969,Something,The Beatles,6,Rock,3655,1990,549,6,2421,2,5623107,11,2362818,498,7985925,196,1
0,1961,Travelin' Man,Ricky Nelson,6,Rock,3655,1990,1349,16,120,76,101294,1040,7879250,173,7980544,197,1
0,1963,In Dreams,Roy Orbison,6,Rock,3655,1990,979,13,816,32,760892,240,7205127,198,7966019,198,1
0,1958,Jingle Bell Rock,Bobby Helms,8,Traditional,811,12088,640,15,2038,659,1021093,177,6939137,207,7960230,199,1
0,1967,Love Me Two Times,The Doors,6,Rock,3655,1990,392,7,3311,192,3818808,32,4125622,338,7944430,200,1
0,1962,Twistin' The Night Away,Sam Cooke,9,Urban,1891,19436,1108,15,465,15,523143,334,7410670,192,7933813,201,1
0,1959,I Only Have Eyes For You,The Flamingos,6,Rock,3655,1990,959,13,871,190,440570,380,7487684,186,7928254,202,1
0,1969,Tomorrow Tomorrow,Bee Gees,6,Rock,3655,1990,265,6,4313,135,3937,4062,7905193,172,7909130,203,1
0,1970,Paranoid,Black Sabbath,6,Rock,3655,1990,138,5,5450,1829,7846242,1,34248,4155,7880490,204,1
0,1963,The End Of The World,Skeeter Davis,8,Traditional,811,12088,1284,17,177,255,654963,273,7039162,202,7694125,205,1
0,1962,Speedy Gonzales,Pat Boone,5,Pop,1235,13616,970,13,844,19,187620,691,7436344,189,7623964,206,1
0,1963,Hello Stranger,Barbara Lewis,9,Urban,1891,19436,1028,14,668,198,123078,913,7479966,187,7603044,207,1
0,1967,I Say A Little Prayer,Dionne Warwick,5,Pop,1235,13616,1028,13,669,12,196760,667,7365054,194,7561814,208,1
0,1963,Blue Velvet,Bobby Vinton,6,Rock,3655,1990,1233,15,246,17,447404,375,7077126,201,7524530,209,1
0,1966,Homeward Bound,Simon & Garfunkel,5,Pop,1235,13616,909,12,1016,144,1676501,108,5833630,243,7510131,210,1
0,1970,Funk # 49,James Gang,6,Rock,3655,1990,329,10,3775,2262,3364,4245,7498604,184,7501968,211,1
1,1968,Harper Valley P.T.A.,Jeannie C. Riley,8,Traditional,811,12088,1136,13,408,592,62718,1353,7370141,193,7432859,212,1
0,1969,Volunteers,Jefferson Airplane,6,Rock,3655,1990,204,10,4831,290,787298,227,6611801,209,7399099,213,1
0,1967,Silence Is Golden,The Tremeloes,6,Rock,3655,1990,938,14,933,479,442322,379,6952247,205,7394569,214,1
0,1960,North To Alaska,Johnny Horton,8,Traditional,811,12088,1708,23,21,262,84716,1144,7255681,195,7340397,215,1
0,1961,The Wanderer,Dion,6,Rock,3655,1990,1359,18,116,64,348824,445,6956560,204,7305384,216,1
0,1966,The Ballad Of The Green Berets,SSgt Barry Sadler,6,Rock,3655,1990,1108,13,466,783,27851,2054,7233717,196,7261568,217,1
