,Winner,Country,song,artist,Nominees,num
39,Shawn ColvinJohn Leventhal,  United States,Sunny Came Home ,Shawn Colvin,"Eric Stefani & Gwen Stefani for ""Don't Speak"" performed by No DoubtDiane Warren for ""How Do I Live"" versions performed by LeAnn Rimes & Trisha YearwoodPaula Cole for ""Where Have All the Cowboys Gone?"" performed by Paula ColeR. Kelly for ""I Believe I Can Fly"" performed by R. Kelly",[40]
40,James HornerWill Jennings,  Canada,My Heart Will Go On ,Celine Dion,"Diane Warren for ""I Don't Want to Miss a Thing"" performed by AerosmithJohn Rzeznik for ""Iris"" performed by The Goo Goo DollsKirk Franklin for ""Lean on Me"" performed by Kirk FranklinRobert Lange & Shania Twain for ""You're Still the One"" performed by Shania Twain",[41]
41,Itaal ShurRob Thomas,  United States,Smooth ,Santana featuring Rob Thomas,"Andreas Carlsson & Max Martin for ""I Want It That Way"" performed by Backstreet BoysDesmond Child & Robi Draco Rosa for ""Livin' la Vida Loca"" performed by Ricky MartinTionne ""T-Boz"" Watkins & Dallas Austin for ""Unpretty"" performed by TLCShania Twain & Robert Lange for ""You've Got a Way"" performed by Shania Twain",[42]
42,"Adam ClaytonDavid EvansLarry Mullen, Jr.Paul Hewson",  Ireland,Beautiful Day ,U2,"Beyonce, Rodney Jerkins, LaShawn Daniels, Fred Jerkins III, LeToya, LaTavia Roberson & Kelly Rowland for ""Say My Name"" performed by Destiny's ChildMacy Gray, Jinsoo Lim, Jeremy Ruzumna & David Wilder for ""I Try"" performed by Macy GrayStephanie Bentley & Holly Lamar for ""Breathe"" performed by Faith HillMark Sanders & Tia Sillers for ""I Hope You Dance"" performed by Lee Ann Womack",[43]
43,Alicia Keys,  United States,Fallin',Alicia Keys,"India.Arie, Carlos ""Six July"" Broady & Shannon Sanders for ""Video"" performed by India.ArieCharlie Colon, Rob Hotchkiss, Patrick Monahan, Jimmy Stafford & Scott Underwood for ""Drops of Jupiter (Tell Me)"" performed by TrainU2 for ""Stuck in a Moment You Can't Get Out Of"" performed by U2Nelly Furtado for ""I'm Like a Bird"" performed by Nelly Furtado",[44]
44,Jesse Harris,  United States,Don't Know Why ,Norah Jones,"Vanessa Carlton for ""A Thousand Miles"" performed by Vanessa CarltonAvril Lavigne & The Matrix for ""Complicated"" performed by Avril LavigneBruce Springsteen for ""The Rising"" performed by Bruce SpringsteenAlan Jackson for ""Where Were You (When the World Stopped Turning)"" performed by Alan Jackson",[45]
45,Richard MarxLuther Vandross,  United States,Dance with My Father,Luther Vandross,"Linda Perry for ""Beautiful"" performed by Christina AguileraAvril Lavigne & The Matrix for ""I'm with You"" performed by Avril LavigneJorge Calderon & Warren Zevon for ""Keep Me In Your Heart"" performed by Warren ZevonJeff Bass, Eminem & Luis Resto for ""Lose Yourself"" performed by Eminem",[46]
46,John Mayer,  United States,Daughters,John Mayer,"Alicia Keys for ""If I Ain't Got You"" performed by Alicia KeysRhymefest & Kanye West for ""Jesus Walks"" performed by Kanye WestTim Nichols & Craig Wiseman for ""Live Like You Were Dying"" performed by Tim McGrawDaniel Estrin & Douglas Robb for ""The Reason"" performed by Hoobastank",[47]
47,"Adam ClaytonDavid EvansLarry Mullen, Jr.Paul Hewson",  Ireland,Sometimes You Can't Make It on Your Own,U2,"Johnta Austin, Babyface, Mariah Carey, Jermaine Dupri, Manuel Seal, Jr., Darnell Bristol, Sid Johnson, Patrick Moten, Sandra Sully & Bobby Womack for ""We Belong Together"" performed by Mariah CareyBobby Boyd, Jeff Hanna & Marcus Hummon for ""Bless the Broken Road"" performed by Rascal FlattsBruce Springsteen for ""Devils & Dust"" performed by Bruce SpringsteenJohn Legend & will.i.am for ""Ordinary People"" performed by John Legend",[48]
48,Emily RobisonMartie MaguireNatalie MainesDan Wilson,  United States,Not Ready to Make Nice ,Dixie Chicks,"Johnta Austin, Mary J. Blige, Bryan-Michael Cox & Jason Perry for ""Be Without You"" performed by Mary J. BligeJames Blunt, Amanda Ghost & Sacha Skarbek for ""You're Beautiful"" performed by James BluntJohn Beck, Steve Chrisanthou & Corinne Bailey Rae for ""Put Your Records On"" performed by Corinne Bailey RaeBrett James, Hillary Lindsey & Gordie Sampson for ""Jesus, Take the Wheel"" performed by Carrie Underwood",[49]
49,Amy Winehouse,  United Kingdom,Rehab ,Amy Winehouse,"Josh Kear & Chris Tompkins for ""Before He Cheats"" performed by Carrie UnderwoodTom Higgenson for ""Hey There Delilah"" performed by Plain White T'sCorinne Bailey Rae for ""Like a Star"" performed by Corinne Bailey RaeKuk Harrell, Jay-Z, Christopher Stewart & The-Dream for ""Umbrella"" performed by Rihanna featuring Jay-Z",[50]
50,Guy BerrymanJonny BucklandWill ChampionChris Martin,  United Kingdom,Viva la Vida,Coldplay,"Estelle, Keith Harris, John Legend, Josh Lopez, Caleb Speir, Kanye West & will.i.am for ""American Boy"" (by Estelle featuring Kanye West)Adele Adkins & Eg White for ""Chasing Pavements"" performed by AdeleJason Mraz for ""I'm Yours"" performed by Jason MrazSara Bareilles for ""Love Song"" performed by Sara Bareilles",[51]
51,Thaddis HarrellBeyonce KnowlesTerius NashChristopher Stewart,  United States,Single Ladies (Put a Ring on It),Beyonce,"Lady Gaga & RedOne for ""Poker Face"" performed by Lady GagaHod David & Musze for ""Pretty Wings"" performed by MaxwellCaleb Followill, Jared Followill, Matthew Followill & Nathan Followill for ""Use Somebody"" performed by Kings of LeonLiz Rose & Taylor Swift for ""You Belong With Me"" performed by Taylor Swift",[52]
52,Dave HaywoodJosh KearCharles KelleyHillary Scott,  United States,Need You Now ,Lady Antebellum,"Ray LaMontagne for ""Beg Steal Or Borrow"" performed by Ray LaMontagne and The Pariah DogsBrody Brown, Cee Lo Green, Ari Levine, Philip Lawrence & Bruno Mars for ""F**k You"" performed by Cee Lo GreenTom Douglas & Allen Shamblin for ""The House That Built Me"" performed by Miranda LambertAlexander Grant, Skylar Grey & Marshall Mathers for ""Love the Way You Lie"" performed by Eminem featuring Rihanna",[53]
53,Adele AdkinsPaul Epworth,  United Kingdom,Rolling in the Deep ,Adele,"Jeff Bhasker, Malik Jones, Warren Trotter & Kanye West for ""All of the Lights"" performed by Kanye West, Rihanna, Kid Cudi & FergieTed Dwane, Ben Lovett, Marcus Mumford & Country Winston for ""The Cave"" performed by Mumford & SonsBrody Brown, Claude Kelly, Philip Lawrence, Ari Levine, Bruno Mars & Andrew Wyatt for ""Grenade"" performed by Bruno MarsJustin Vernon for ""Holocene"" performed by Bon Iver",[54]
54,Nate RuessJack AntonoffJeff BhaskerAndrew Dost,  United States,We Are Young,Fun featuring Janelle Monae,"Ed Sheeran for ""The A Team"" performed by Ed SheeranMiguel Pimentel for ""Adorn"" by MiguelTavish Crowe, Carly Rae Jepsen & Josh Ramsay for ""Call Me Maybe"" by Carly Rae JepsenJorgen Elofsson, David Gamson, Greg Kurstin & Ali Tamposi for ""Stronger (What Doesn't Kill You)"" by Kelly Clarkson",[55]
55,Joel LittleElla Yelich-O'Connor,  New Zealand,Royals,Lorde,"Jeff Bhasker, Pink, & Nate Ruess for ""Just Give Me a Reason"" by Pink featuring Nate RuessPhillip Lawrence, Ari Levine, & Bruno Mars for ""Locked Out of Heaven"" by Bruno MarsLukasz Gottwald, Max Martin, Bonnie McKee, Katy Perry, & Henry Walter for ""Roar"" by Katy PerryBen Haggerty, Mary Lambert, & Ryan Lewis for ""Same Love"" by Macklemore & Ryan Lewis",[56]
56,James NapierWilliam PhillipsSam Smith,  United Kingdom,Stay with Me (Darkchild version) ,Sam Smith,"Andrew Hozier-Byrne for ""Take Me to Church"" by HozierSia Furler & Jesse Shatkin for ""Chandelier"" by SiaMax Martin, Shellback & Taylor Swift for ""Shake It Off"" by Taylor SwiftKevin Kadish & Meghan Trainor for ""All About That Bass"" by Meghan Trainor",[57]
57,Ed SheeranAmy Wadge,  United Kingdom,Thinking Out Loud,Ed Sheeran,"Kendrick Duckworth, Mark Anthony Spears & Pharrell Williams for ""Alright"" by Kendrick LamarMax Martin, Shellback & Taylor Swift for ""Blank Space"" by Taylor SwiftHillary Lindsey, Lori McKenna & Liz Rose for ""Girl Crush"" by Little Big TownAndrew Cedar, Justin Franks, Charles Puth & Cameron Thomaz for ""See You Again"" by Wiz Khalifa featuring Charlie Puth",[58]
58,Adele AdkinsGreg Kurstin,  United Kingdom,Hello ,Adele,"Khalif Brown, Asheton Hogan, Beyonce Knowles & Michael L. Williams II for ""Formation"" by BeyonceMike Posner for ""I Took a Pill in Ibiza"" by Mike PosnerJustin Bieber, Benjamin Levin & Ed Sheeran for ""Love Yourself"" by Justin BieberLukas Forchhammer, Stefan Forrest, Morten Pilegaard & Morten Ristorp for ""7 Years"" by Lukas Graham",[59]
