,Year,Category,Title,Winners
3447,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans
3448,1970,Best Jazz Performance - Large Group Or Soloist With Large Group,Bitches Brew,Miles Davis
3449,1970,"Album Of The Year, Classical",Berlioz: Les Troyens,Colin Davis
3450,1970,"Best Classical Performance, Orchestra",Stravinsky: Le Sacre Du Printemps,Pierre Boulez
3451,1970,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Brahms: Double Concerto (Concerto In A Minor For Violin And Cello),"David Oistrakh & Mstislav Rostropovich, artists."
3452,1970,Best Chamber Music Performance,Beethoven: The Complete Piano Trios,"Eugene Istomin, Isaac Stern & Leonard Rose, artists."
3453,1970,Best Opera Recording,Berlioz: Les Troyens,Colin Davis
3454,1970,Best Classical Vocal Soloist Performance,Schubert: Lieder,Dietrich Fischer-Dieskau
3455,1970,Best Choral Performance (Other Than Opera),Ives: New Music Of Charles Ives,"Gregg Smith, choir director."
3456,1970,"Best Engineered Recording, Classical",Stravinsky: Le Sacre Du Printemps,"Arthur Kendy, Fred Plaut & Ray Moore, engineers."
3457,1969,Record Of The Year,Aquarius/Let The Sunshine In (The Flesh Failures),"5th Dimension (Billy Davis Jr., Florence LaRue, Marilyn McCoo, Lamont McLemore, Ron Townson)"
3458,1969,Album Of The Year,"Blood, Sweat And Tears","Blood, Sweat And Tears (Dick Halligan, Jerry Hyman, Steve Katz, Fred Lipsius, Lou Soloff, David Clayton Thomas, Chuck Winfield)"
3459,1969,Song Of The Year,Games People Play,"Joe South, songwriter."
3460,1969,Best New Artist Of The Year,,"Crosby, Stills And Nash (David Crosby, Graham Nash, Stephen Stills)"
3461,1969,Best Instrumental Arrangement,Love Theme From Romeo And Juliet,"Henry Mancini, arranger."
3462,1969,Best Arrangement Accompanying Vocalist(s),Spinning Wheel,"Fred Lipsius, arranger."
3463,1969,Best Engineered Recording - Non-Classical,Abbey Road,"Geoff E. Emerick & Philip McDonald, engineers."
3464,1969,Best Album Cover,America The Beautiful,"David Stahlberg & Evelyn J. Kelbish, graphic artists."
3465,1969,Best Album Notes,Nashville Skyline,"Johnny Cash, album notes writer."
3466,1969,Best Contemporary Song,Variations On A Theme By Eric Satie,"Blood, Sweat And Tears (Bobby Colomby, Dick Halligan, Jerry Hyman, Steve Katz, Fred Lipsius, Lou Soloff, David Clayton Thomas, Chuck Winfield)"
3467,1969,Best Contemporary Song,Is That All There Is?,Peggy Lee
3468,1969,Best Contemporary Song,Games People Play,"Joe South, songwriter."
3469,1969,Best Contemporary Song,Everybody's Talkin',Harry Nilsson
3470,1969,Best Contemporary Song,Aquarius/Let The Sunshine In (The Flesh Failures),"5th Dimension (Billy Davis Jr., Florence LaRue, Marilyn McCoo, Lamont McLemore, Ron Townson)"
3471,1969,Best Contemporary Song,Love Theme From Romeo And Juliet,Percy Faith Chorus
3472,1969,"Best R&B Vocal Performance, Female",Share Your Love With Me,Aretha Franklin
3473,1969,"Best R&B Vocal Performance, Male",The Chokin' Kind,Joe Simon
3474,1969,Best R&B Vocal Performance By A Duo Or Group,It's Your Thing,"Isley Brothers (O'Kelly Isley Jr., Ronnie Isley, Rudolph Isley)"
3475,1969,Best R&B Instrumental Performance,Games People Play,King Curtis
3476,1969,Best Rhythm & Blues Song,Color Him Father,"Richard Spencer, songwriter."
3477,1969,Best Soul Gospel Performance,Oh Happy Day,Edwin Hawkins Singers
3478,1969,"Best Country Vocal Performance, Female",Stand By Your Man,Tammy Wynette
3479,1969,"Best Country Vocal Performance, Male",A Boy Named Sue,Johnny Cash
3480,1969,Best Country Performance By A Duo Or Group With Vocal,MacArthur Park,"Kimberlys & Waylon Jennings, artists."
3481,1969,Best Country Instrumental Performance,The Nashville Brass Featuring Danny Davis Play More Nashville Sounds,Nashville Brass With Danny Davis (Danny Davis)
3482,1969,Best Country Song,A Boy Named Sue,"Shel Silverstein, songwriter."
3483,1969,Best Sacred Performance (Non-Classical),Ain't That Beautiful Singing,Jake Hess
3484,1969,Best Gospel Performance,In Gospel Country,"Blackwood Brothers (Cecil Blackwood, James Blackwood Jr., James Blackwood Sr., Tommy Fairchild, Pat Hoffmaster) & Porter Wagoner, artists."
3485,1969,Best Folk Performance,Clouds,Joni Mitchell
3486,1969,Best Instrumental Theme,Midnight Cowboy,"John Barry, composer."
3487,1969,Best Original Score Written For A Motion Picture Or A Television Special,Butch Cassidy And The Sundance Kid,"Burt Bacharach, composer."
3488,1969,Best Score From An Original Cast Show Album,"Promises, Promises","Burt Bacharach & Hal David, composers. Henry Jerome & Phil Ramone, producers."
3489,1969,Best Recording For Children,"Peter, Paul And Mommy","Peter, Paul And Mary (Paul Stooky, Mary Travers, Peter Yarrow)"
3490,1969,Best Comedy Recording,Bill Cosby,Bill Cosby
3491,1969,Best Spoken Word Recording,We Love You Call Collect,"Art Linkletter & Diane Linkletter, narrators."
3492,1969,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",Willow Weep For Me,Wes Montgomery
3493,1969,"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",Walking In Space,Quincy Jones
3494,1969,"Album Of The Year, Classical",Switched-On-Bach,Walter Carlos
3495,1969,"Best Classical Performance, Orchestra","Boulez Conducts Debussy, Vol. 2 ""Images Pour Orchestre""",Pierre Boulez
3496,1969,Best Chamber Music Performance,Gabrieli: Antiphonal Music Of Gabrieli,"Chicago Brass Ensemble, Cleveland Brass Ensemble & Philadelphia Brass Ensemble, artists."
3497,1969,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Switched-On-Bach,Walter Carlos
3498,1969,Best Opera Recording,Wagner: Siegfried,Herbert von Karajan
3499,1969,"Best Choral Performance, Classical (Other Than Opera)",Berio: Sinfonia,Luciano Berio
3500,1969,"Best Vocal Soloist Performance, Classical",Barber: Two Scenes From Antony And Cleopatra/Knoxville: Summer Of 1915,Leontyne Price
3501,1969,"Best Engineered Recording, Classical",Switched-on Bach,"Walter Carlos, engineer."
3502,1968,Record Of The Year,Mrs. Robinson,"Simon And Garfunkel* (Art Garfunkel*, Paul Simon*)"
3503,1968,Album Of The Year,By The Time I Get To Phoenix,Glen Campbell
3504,1968,Song Of The Year,Little Green Apples,"Bobby Russell, songwriter."
3505,1968,Best New Artist Of The Year,,Jose Feliciano
3506,1968,Best Instrumental Arrangement,Classical Gas,"Mike Post, arranger."
3507,1968,Best Arrangement Accompanying Vocalist(s),Mac Arthur Park,"Jimmy L. Webb, arranger."
3508,1968,Best Engineered Recording (Non-Classical),Wichita Lineman,"Hugh Davies & Joe Polito, engineers."
3509,1968,Best Album Cover,Underground,"John Berg & Richard Mantel, art directors. Horn Grinner Studios, photographer."
3510,1968,Best Album Notes,Johnny Cash At Folsom Prison,"Johnny Cash, album notes writer."
3511,1968,"Best Contemporary Pop Performance, Instrumental",Classical Gas,Mason Williams
3512,1968,"Best Contemporary Pop Performance, Instrumental",Do You Know The Way To San Jose?,Dionne Warwick
3513,1968,"Best Contemporary Pop Performance, Instrumental",Light My Fire,Jose Feliciano
3514,1968,"Best Contemporary Pop Performance, Instrumental",Mrs. Robinson,"Simon And Garfunkel (Art Garfunkel, Paul Simon)"
3515,1968,"Best Contemporary Pop Performance, Instrumental",Mission Impossible/Norwegian Wood Medley,"Alan Copeland, choir director."
3516,1968,"Best Rhythm & Blues Vocal Performance, Female",Chain Of Fools,Aretha Franklin
3517,1968,"Best Rhythm & Blues Vocal Performance, Male",(Sittin' On) The Dock Of The Bay,Otis Redding
3518,1968,"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",Cloud Nine,Temptations
3519,1968,Best Rhythm & Blues Song,(Sittin' On) The Dock Of The Bay,"Otis Redding & Steve Cropper, songwriters."
3520,1968,"Best Country Vocal Performance, Female",Harper Valley P.T.A.,Jeannie C. Riley
3521,1968,"Best Country Vocal Performance, Male",Folsom Prison Blues,Johnny Cash
3522,1968,"Best Country Performance, Duo Or Group - Vocal Or Instrumental",Foggy Mountain Breakdown,"Flatt And Scruggs (Lester Flatt, Earl Scruggs)"
3523,1968,Best Country Song,Little Green Apples,"Bobby Russell, songwriter."
3524,1968,Best Sacred Performance,Beautiful Isle Of Somewhere,Jake Hess
3525,1968,Best Gospel Performance,The Happy Gospel Of The Happy Goodmans,"Happy Goodman Family (Johnny Cook, Rusty Goodman, Sam Goodman, Tanya Goodman)"
3526,1968,Best Soul Gospel Performance,The Soul Of Me,Dottie Rambo
3527,1968,Best Folk Performance,Both Sides Now,Judy Collins
3528,1968,Best Instrumental Theme,Classical Gas,"Mason Williams, composer."
3529,1968,Best Original Score Written For A Motion Picture Or A Television Special,The Graduate,"Dave Grusin & Paul Simon, composers."
3530,1968,Best Score From An Original Cast Show Album,Hair,"Galt MacDermott, Gerome Ragni & James Rado, composers. Andy Wiswell, producer."
3531,1968,Best Comedy Recording,"To Russell, My Brother, Whom I Slept With",Bill Cosby
3532,1968,Best Spoken Word Recording,Lonesome Cities,"Rod McKuen, narrator."
3533,1968,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,Bill Evans At The Montreux Jazz Festival,Bill Evans
3534,1968,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,And His Mother Called Him Bill,Duke Ellington
3535,1968,Best Classical Performance - Orchestra,Boulez Conducts Debussy (La Mer; Prelude A L'Apres-Midi D'Un Faune; Jeux),Pierre Boulez
3536,1968,Best Chamber Music Performance,"Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ","E. Power Biggs, Edward Tarr Brass Ensemble & Vittorio Negri, artists."
3537,1968,Best Opera Recording,Mozart: Cosi Fan Tutte,Erich Leinsdorf
3538,1968,Best Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz On Television (Chopin, Scriabin, Scarlatti, Horowitz)",Vladimir Horowitz
3539,1968,Best Choral Performance (Other Than Opera),The Glory Of Gabrieli,Vittorio Negri
3540,1968,Best Vocal Soloist Performance,Rossini: Rarities,Montserrat Caballe
3541,1968,Best Engineered Recording - Classical,Mahler: Symphony No. 9 In D,"Gordon Parry, engineer."
3542,1967,Record Of The Year,"Up, Up And Away","5th Dimension (Billy Davis Jr., Florence LaRue, Marilyn McCoo, Lamont McLemore, Ron Townson)"
3543,1967,Album Of The Year,Sgt. Pepper's Lonely Hearts Club Band,"Beatles (George Harrison,John Lennon, Paul McCartney,Ringo Starr)"
3544,1967,Song Of The Year,"Up, Up And Away","Jimmy L. Webb, songwriter."
3545,1967,Best Instrumental Theme,Mission: Impossible,"Lalo Schifrin, composer."
3546,1967,"Best Vocal Performance, Female",Ode To Billie Joe,Bobbie Gentry
3547,1967,"Best Vocal Performance, Male",By The Time I Get To Phoenix,Glen Campbell
3548,1967,Best Instrumental Performance,Chet Atkins Picks The Best,Chet Atkins
3549,1967,Best Performance By A Chorus,"Up, Up And Away","5th Dimension (Billy Davis Jr., Florence LaRue, Marilyn McCoo, Lamont McLemore, Ron Townson)"
3550,1967,Best Performance By A Chorus,"Up, Up And Away",Johnny Mann Singers
3551,1967,Best Original Score Written For A Motion Picture Or A Television Show,Mission: Impossible,"Lalo Schifrin, composer."
3552,1967,Best Score From An Original Cast Show Album,Cabaret,"Fred Ebb & John Kander, composers. Goddard Lieberson, producer."
3553,1967,Best Comedy Recording,Revenge,Bill Cosby
3554,1967,Best New Artist,,Bobbie Gentry
3555,1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group","Mercy, Mercy, Mercy",Cannonball Adderley
3556,1967,"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",Far East Suite,Duke Ellington
3557,1967,Best Contemporary Group Performance (Vocal Or Instrumental),"Up, Up And Away","5th Dimension (Billy Davis Jr., Florence LaRue, Marilyn McCoo, Lamont McLemore, Ron Townson)"
3558,1967,Best Contemporary Group Performance (Vocal Or Instrumental),"Up, Up And Away","5th Dimension (Billy Davis Jr., Florence LaRue, Marilyn McCoo, Lamont McLemore, Ron Townson)"
3559,1967,Best Contemporary Group Performance (Vocal Or Instrumental),Sgt. Pepper's Lonely Hearts Club Band,"Beatles (George Harrison, John Lennon, Paul McCartney, Ringo Starr)"
3560,1967,Best Contemporary Group Performance (Vocal Or Instrumental),Ode To Billie Joe,Bobbie Gentry
3561,1967,Best Contemporary Group Performance (Vocal Or Instrumental),By The Time I Get To Phoenix,Glen Campbell
3562,1967,Best Rhythm & Blues Recording,Respect,Aretha Franklin
3563,1967,"Best Rhythm & Blues Solo Vocal Performance, Female",Respect,Aretha Franklin
3564,1967,"Best Rhythm & Blues Solo Vocal Performance, Male",Dead End Street,Lou Rawls
3565,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Soul Man,"Sam And Dave (Sam Moore, Dave Prater)"
3566,1967,Best Sacred Performance,How Great Thou Art,Elvis Presley
3567,1967,Best Gospel Performance,More Grand Old Gospel,"Blackwood Brothers (Cecil Blackwood, James Blackwood Jr., James Blackwood Sr., Tommy Fairchild, Pat Hoffmaster, Ken Turner) & Porter Wagoner, artists."
3568,1967,Best Folk Performance,Gentle On My Mind,John Hartford
3569,1967,Best Country & Western Recording,Gentle On My Mind,Glen Campbell
3570,1967,"Best Country & Western Solo Vocal Performance, Female",I Don't Wanna Play House,Tammy Wynette
3571,1967,"Best Country & Western Solo Vocal Performance, Male",Gentle On My Mind,Glen Campbell
3572,1967,"Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental)",Jackson,"Johnny Cash & June Carter, artists."
3573,1967,Best Country & Western Song,Gentle On My Mind,"John Hartford, songwriter."
3574,1967,"Best Spoken Word, Documentary Or Drama Recording",Gallant Men,"Everett M. Dirksen, narrator."
3575,1967,Best Recording For Children,Dr. Seuss: How The Grinch Stole Christmas,Boris Karloff
3576,1967,Best Instrumental Arrangement,Alfie,"Burt Bacharach, arranger."
3577,1967,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Ode To Billie Joe,"Jimmie Haskell, arranger."
3578,1967,Best Engineered Recording - Non-Classical,Sgt. Pepper's Lonely Hearts Club Band,"Geoff E. Emerick, engineer."
3579,1967,"Best Engineered Recording, Classical",The Glorious Sound Of Brass,"Edward (Bud) T. Graham, engineer."
3580,1967,"Best Album Cover, Graphic Arts",Bob Dylan's Greatest Hits,"Bob (Robert) Cato & John Berg, art directors. Roland Scherman, photographer."
3581,1967,"Best Album Cover, Graphic Arts",Sgt. Pepper's Lonely Hearts Club Band,"Jann Haworth & Peter Blake, art directors."
3582,1967,Best Album Notes,Suburban Attitudes In Country Verse,"John D. Loudermilk, album notes writer."
3583,1967,"Album Of The Year, Classical",Mahler: Symphony No. 8 (Symphony Of A Thousand),Leonard Bernstein
3584,1967,"Album Of The Year, Classical",Berg: Wozzeck,Pierre Boulez
3585,1967,Best Classical Performance - Orchestra,Stravinsky: Firebird And Petrouchka Suites,Igor Stravinsky
3586,1967,Best Chamber Music Performance,West Meets East,"Ravi Shankar & Yehudi Menuhin, artists."
3587,1967,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz In Concert (Haydn, Schumann, Scriabin, Debussy, Mozart, Chopin)",Vladimir Horowitz
3588,1967,Best Opera Recording,Berg: Wozzeck,Pierre Boulez
3589,1967,Best Classical Choral Performance (Other Than Opera),Orff: Catulli Carmina,Eugene Ormandy
3590,1967,Best Classical Choral Performance (Other Than Opera),Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand),Leonard Bernstein
3591,1967,Best Classical Vocal Soloist Performance,"Prima Donna, Volume 2",Leontyne Price
3592,1966,Record Of The Year,Strangers In The Night,Frank Sinatra
3593,1966,Album Of The Year,A Man And His Music,Frank Sinatra
3594,1966,Song Of The Year,Michelle,"John Lennon & Paul McCartney, songwriters."
3595,1966,Best Instrumental Theme,Batman Theme,"Neal Hefti, composer."
3596,1966,"Best Vocal Performance, Female",If He Walked Into My Life,Eydie Gorme
3597,1966,"Best Vocal Performance, Male",Strangers In The Night,Frank Sinatra
3598,1966,Best Instrumental Performance (Other Than Jazz),What Now My Love,Herb Alpert
3599,1966,Best Performance By A Chorus,A Man And A Woman,Anita Kerr Singers
3600,1966,Best Performance By A Chorus,Somewhere My Love (Lara's Theme From Dr. Zhivago),"Ray Conniff, choir director."
3601,1966,Best Original Score Written For A Motion Picture Or Television Show,Dr. Zhivago,"Maurice Jarre, composer."
3602,1966,Best Score From An Original Cast Show Album,Mame,"Jerry Herman, composer."
3603,1966,Best Comedy Performance,Wonderfulness,Bill Cosby
3604,1966,"Best Spoken Word, Documentary Or Drama Recording",Edward R. Murrow - A Reporter Remembers Vol. I The War Years,"Edward R. Murrow, narrator."
3605,1966,Best Recording For Children,"Dr. Seuss Presents - ""If I Ran The Zoo"" And ""Sleep Book""",Marvin Miller
3606,1966,Best Album Notes,Sinatra At The Sands,"Stan Cornyn, album notes writer."
3607,1966,Best Instrumental Jazz Performance - Group Or Soloist With Group,Goin' Out Of My Head,Wes Montgomery
3608,1966,Best Original Jazz Composition,In The Beginning God,"Duke Ellington, composer."
3609,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Winchester Cathedral,New Vaudeville Band
3610,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Eleanor Rigby,Paul McCartney
3611,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental","Monday, Monday","Mamas And The Papas (Dennis Doherty, ""Mama"" Cass Elliot, John Phillips, Michelle Phillips)"
3612,1966,Best Rhythm & Blues Recording,Crying Time,Ray Charles
3613,1966,"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",Crying Time,Ray Charles
3614,1966,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Hold It Right There,Ramsey Lewis
3615,1966,Best Folk Recording,Blues In The Street,Cortelia Clark
3616,1966,Best Sacred Recording (Musical),Grand Old Gospel,"Blackwood Brothers (Cecil Blackwood, James Blackwood Jr., James Blackwood Sr., Tommy Fairchild, Pat Hoffmaster, Ken Turner) & Porter Wagoner, artists."
3617,1966,Best Country & Western Recording,Almost Persuaded,David Houston
3618,1966,Best Country & Western Vocal Performance - Female,Don't Touch Me,Jeannie Seely
3619,1966,"Best Country & Western Vocal Performance, Male",Almost Persuaded,David Houston
3620,1966,Best Country & Western Song,Almost Persuaded,"Billy Sherrill & Glenn Sutton, songwriters."
3621,1966,Best Instrumental Arrangement,What Now My Love,"Herb Alpert, arranger."
3622,1966,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Strangers In The Night,"Ernie Freeman, arranger."
3623,1966,Best Engineered Recording - Non-Classical,Strangers In The Night,"Eddie Brackett & Lee Herschberg, engineers."
3624,1966,Best Engineered Recording - Classical,Wagner: Lohengrin,"Anthony Salvatore, engineer."
3625,1966,"Best Album Cover, Graphic Arts",Confessions Of A Broken Man,"Robert M. Jones, art director. Les Leverette, photographer."
3626,1966,"Best Album Cover, Graphic Arts",Revolver,"Klaus Voormann, graphic artist."
3627,1966,Album Of The Year - Classical,Ives: Symphony No. 1 In D Minor,Morton Gould
3628,1966,Best Classical Performance - Orchestra,Mahler: Symphony No. 6 In A Minor,Erich Leinsdorf
3629,1966,Best Chamber Music Performance - Instrumental Or Vocal,"Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston",Boston Symphony Chamber Players
3630,1966,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)",Julian Bream
3631,1966,Best Opera Recording,Wagner: Die Walkure,Georg Solti
3632,1966,Best Classical Choral Performance (Other Than Opera),Ives: Music For Chorus,George Bragg
3633,1966,Best Classical Choral Performance (Other Than Opera),Handel: Messiah,Robert Shaw
3634,1966,Best Classical Vocal Soloist Performance (With Or Without Orchestra),"Prima Donna (Works Of Barber, Purcell, Etc.)",Leontyne Price
3635,1965,Record Of The Year,A Taste Of Honey,Herb Alpert*
3636,1965,Album Of The Year,September Of My Years,Frank Sinatra
3637,1965,Album Of The Year -- Classical,Horowitz At Carnegie Hall - An Historic Return,Vladimir Horowitz
3638,1965,Song Of The Year,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")","Johnny Mandel & Paul Francis Webster, songwriters."
3639,1965,"Best Vocal Performance, Female",My Name Is Barbra,Barbra Streisand
3640,1965,"Best Vocal Performance, Male",It Was A Very Good Year,Frank Sinatra
3641,1965,"Best Instrumental Performance, Non-Jazz",A Taste Of Honey,Herb Alpert
3642,1965,Best Performance By A Chorus,We Dig Mancini,Anita Kerr Singers
3643,1965,Best Performance By A Chorus,Anyone For Mozart?,Ward Swingle
3644,1965,Best Original Score Written For A Motion Picture Or Television Show,The Sandpiper,"Johnny Mandel, composer."
3645,1965,Best Score From An Original Cast Show Album,On A Clear Day,"Alan J. Lerner & Burton Lane, composers."
3646,1965,Best Comedy Performance,Why Is There Air?,Bill Cosby
3647,1965,Best Spoken Word Or Drama Recording,John F. Kennedy - As We Remember Him,"Goddard Lieberson, producer."
3648,1965,Best New Artist,,Tom Jones
3649,1965,Best Recording For Children,"Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham""",Marvin Miller
3650,1965,Best Album Notes,September Of My Years,"Stan Cornyn, album notes writer."
3651,1965,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,"The ""In"" Crowd",Ramsey Lewis
3652,1965,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Ellington '66,Duke Ellington
3653,1965,Best Original Jazz Composition,Jazz Suite On The Mass Texts,"Lalo Schifrin, composer."
3654,1965,Best Instrumental Arrangement,A Taste Of Honey,"Herb Alpert, arranger."
3655,1965,Best Arrangement Accompanying A Vocalist Or Instrumentalist,It Was A Very Good Year,"Gordon Jenkins, arranger."
3656,1965,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),King Of The Road,Roger Miller
3657,1965,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),I Know A Place,Petula Clark
3658,1965,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),King Of The Road,Roger Miller
3659,1965,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),Flowers On The Wall,Statler Brothers
3660,1965,Best Rhythm & Blues Recording,Papa's Got A Brand New Bag,James Brown
3661,1965,Best Folk Recording,An Evening With Belafonte/Makeba,"Harry Belafonte & Miriam Makeba, artists."
3662,1965,Best Gospel Or Other Religious Recording (Musical),Southland Favorites,"Anita Kerr & George Beverly Shea, artists."
3663,1965,Best Country & Western Album,The Return Of Roger Miller,Roger Miller
3664,1965,Best Country & Western Vocal Performance - Female,Queen Of The House,Jody Miller
3665,1965,Best Country & Western Vocal Performance - Male,King Of The Road,Roger Miller
3666,1965,Best Country & Western Song,King Of The Road,"Roger Miller, songwriter."
3667,1965,Best New Country & Western Artist,,Statler Brothers
3668,1965,Best New Country & Western Artist,King Of The Road,Roger Miller
3669,1965,Best Engineered Recording - Non-Classical,A Taste Of Honey,"Larry Levine, engineer."
3670,1965,"Best Engineered Recording, Classical",Horowitz At Carnegie Hall - An Historic Return,"Fred Plaut, engineer."
3671,1965,Best Album Cover - Graphic Arts,Jazz Suite On The Mass Texts,"Robert M. Jones, art director. Ken Whitmore, photographer."
3672,1965,Best Album Cover - Graphic Arts,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin,"George Estes, art director. James Alexander, graphic artist."
3673,1965,Best Classical Performance - Orchestra,Ives: Symphony No. 4,Leopold Stokowski
3674,1965,Best Classical Chamber Music Performance - Instrumental Or Vocal,Bartók: The Six String Quartets,"Juilliard String Quartet (Claus Adam, Robert Mann, Samuel Rhodes)"
3675,1965,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Beethoven: Piano Concerto No. 4 In G,Artur Rubinstein
3676,1965,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Horowitz At Carnegie Hall - An Historic Return,Vladimir Horowitz
3677,1965,Best Opera Recording,Berg: Wozzeck,Karl Bohm
3678,1965,Best Classical Choral Performance (Other Than Opera),Stravinsky: Symphony Of Psalms/Poulenc: Gloria,Robert Shaw
3679,1965,Best Classical Vocal Soloist Performance,"Strauss: Salome (Dance Of The Seven Veils, Interlude, Final Scene)/The Egyptian Helen (Awakening Scene)",Leontyne Price
3680,1965,Best Composition By A Contemporary Classical Composer,Ives: Symphony No. 4,"Charles Ives, composer."
3681,1965,Most Promising New Classical Recording Artist,Bach: Goldberg Variations,Peter Serkin
3682,1964,Record Of The Year,The Girl From Ipanema,"Astrud Gilberto & Stan Getz, artists."
